,Wind,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,zero,143.7835238358948,0.79879735464386,True,8511.402,0.0
1,n5,186.4202896512134,1.0131537481044206,True,8112.606,0.0
2,n7,198.94497157503804,1.0871309922133225,True,7970.037,0.0
3,n10,4444.119744849025,18.44033089148973,True,-34410.87,60.0
4,s5,292.98003845399694,1.5501589336190313,True,7075.24,0.0
5,s7,299.854875706135,1.6035020091237164,True,7009.587,0.0
6,s10,376.4456713437814,1.9504957064444632,True,6223.956,7.0
7,e5,177.2860280433323,0.9849223780185128,True,8190.7646,0.0
8,e7,152.85615265333522,0.8398689706227209,True,8427.641,0.0
9,e10,16064.96121603467,45.50980514457414,True,-150562.2,102.5
10,w5,187.51868361300413,1.0417704645166896,True,8093.796,0.0
11,w7,188.20467686192677,1.0455815381218154,True,8089.131,0.0
12,w10,509.91152346922456,2.5495576173461227,True,4883.5264,13.0
13,nw5,197.35782605898987,1.0784580658961196,True,7999.7925,0.0
14,nw7,250.76008691737817,1.362826559333577,True,7463.8384,0.0
15,nw10,236.6296022558004,1.2722021626655935,True,7631.9004,0.0
16,sw5,262.4870511967169,1.411220705358693,True,7364.007,0.0
17,sw7,327.82993995165725,1.7531012831639425,True,6710.579,0.0
18,sw10,314.3960149809652,1.6994379188160282,True,6858.0938,0.0
19,ne5,164.3375991815265,0.9079425369145111,True,8313.842,0.0
20,ne7,238.18945114875976,1.2945078866780422,True,7605.709,0.0
21,ne10,234.78181861638768,1.2488394607254665,True,7640.3164,0.0
22,se5,270.95445795858006,1.4567443976267744,True,7293.837,0.0
23,se7,330.70536337191686,1.7590710817655153,True,6698.25,0.0
24,se10,298.9921077710352,1.5819688241853713,True,7023.378,0.0
