,X,Y,Z,Roll,Pitch,Yaw,WPX,WPY,WPZ,TTE
0,0.22594653069972992,-0.00029438614728860557,29.98736000061035,-0.000537162006366998,0.3594399094581604,0.004866485483944416,164.01467895507812,-0.019177723675966263,30.0,0.0
1,1.299337387084961,-0.04498974606394768,29.952503204345703,-0.001643794123083353,0.3845214247703552,0.0003396283136680722,164.01467895507812,-0.019177723675966263,30.0,0.0
2,3.3338801860809326,-0.1498452126979828,29.915109634399414,0.005230273120105267,0.38316720724105835,-0.01051775086671114,164.01467895507812,-0.019177723675966263,30.0,0.0
3,6.24046516418457,-0.23668703436851501,29.90314483642578,-0.006492378655821085,0.27292177081108093,0.0035803583450615406,164.01467895507812,-0.019177723675966263,30.0,0.0
4,9.62772274017334,-0.24350695312023163,29.90367317199707,0.006572154350578785,0.13165993988513947,0.002024041023105383,164.01467895507812,-0.019177723675966263,30.0,0.0
5,13.087363243103027,-0.2603844702243805,29.91415786743164,-0.027901191264390945,0.11291762441396713,-0.005875236354768276,164.01467895507812,-0.019177723675966263,30.0,0.0
6,16.537559509277344,-0.22230707108974457,29.919837951660156,0.023815954104065895,0.10925311595201492,0.009247595444321632,164.01467895507812,-0.019177723675966263,30.0,0.0
7,19.99427032470703,-0.1984291821718216,29.928754806518555,0.014039956033229828,0.12099727243185043,0.005585180129855871,164.01467895507812,-0.019177723675966263,30.0,0.0
8,23.455833435058594,-0.2059827297925949,29.934328079223633,0.016819996759295464,0.10589993000030518,0.0012008503545075655,164.01467895507812,-0.019177723675966263,30.0,0.0
9,26.917604446411133,-0.2085944265127182,29.94700813293457,0.008201130665838718,0.10533803701400757,0.0015139869647100568,164.01467895507812,-0.019177723675966263,30.0,0.0
10,30.405881881713867,-0.3203967213630676,29.84091567993164,0.028262462466955185,0.12232065200805664,0.005167592316865921,164.01467895507812,-0.019177723675966263,30.0,0.0
11,33.94226837158203,-0.588239312171936,29.717655181884766,0.0031695084180682898,0.11465359479188919,0.004707768559455872,164.01467895507812,-0.019177723675966263,30.0,0.0
12,37.470458984375,-0.8982508778572083,29.617637634277344,-0.0160075630992651,0.1140647679567337,0.013425013050436974,164.01467895507812,-0.019177723675966263,30.0,0.0
13,40.98635482788086,-1.1887720823287964,29.528156280517578,-0.0059113712050020695,0.10610523819923401,0.010028251446783543,164.01467895507812,-0.019177723675966263,30.0,0.0
14,44.4957275390625,-1.4877166748046875,29.444664001464844,0.0017921032849699259,0.11001443862915039,0.018431350588798523,164.01467895507812,-0.019177723675966263,30.0,0.0
15,48.008460998535156,-1.7743502855300903,29.37240219116211,-0.005331459455192089,0.11772437393665314,0.003059969749301672,164.01467895507812,-0.019177723675966263,30.0,0.0
16,51.521995544433594,-2.0815649032592773,29.31635093688965,-0.01762327365577221,0.11615492403507233,0.007748150732368231,164.01467895507812,-0.019177723675966263,30.0,0.0
17,55.043914794921875,-2.3817131519317627,29.25727081298828,-0.003971091005951166,0.10987646132707596,0.007077737245708704,164.01467895507812,-0.019177723675966263,30.0,0.0
18,58.569541931152344,-2.6840977668762207,29.207672119140625,-0.019444694742560387,0.10784328728914261,0.005027184262871742,164.01467895507812,-0.019177723675966263,30.0,0.0
19,62.087120056152344,-3.002563953399658,29.164918899536133,0.0016735788667574525,0.11246728152036667,0.019939027726650238,164.01467895507812,-0.019177723675966263,30.0,0.0
20,65.6171875,-3.255751132965088,29.111677169799805,-0.007785608991980553,0.10962750017642975,0.01702301576733589,164.01467895507812,-0.019177723675966263,30.0,0.0
21,69.14305114746094,-3.4328441619873047,29.07744598388672,-0.007378005422651768,0.12133906036615372,0.014116863720119,164.01467895507812,-0.019177723675966263,30.0,0.0
22,72.66522216796875,-3.5658576488494873,29.04638671875,-0.004534346051514149,0.12892605364322662,0.020797180011868477,164.01467895507812,-0.019177723675966263,30.0,0.0
23,76.20941162109375,-3.612044095993042,29.004743576049805,-0.007088981568813324,0.1027110368013382,0.023831959813833237,164.01467895507812,-0.019177723675966263,30.0,0.0
24,79.73624420166016,-3.5619518756866455,28.989168167114258,-0.025195542722940445,0.11365029215812683,0.012736896984279156,164.01467895507812,-0.019177723675966263,30.0,0.0
25,83.26274871826172,-3.4678430557250977,28.96697235107422,-0.009381130337715149,0.11132751405239105,0.011650730855762959,164.01467895507812,-0.019177723675966263,30.0,0.0
26,86.80435943603516,-3.3710274696350098,28.948959350585938,-0.02090541087090969,0.09935560822486877,0.010217161849141121,164.01467895507812,-0.019177723675966263,30.0,0.0
27,90.33415222167969,-3.264807939529419,28.935314178466797,-0.01726663112640381,0.10962202399969101,0.0050376662984490395,164.01467895507812,-0.019177723675966263,30.0,0.0
28,93.87174224853516,-3.1276772022247314,28.915781021118164,-0.00836353562772274,0.10482802242040634,0.013032134622335434,164.01467895507812,-0.019177723675966263,30.0,0.0
29,97.41856384277344,-2.9754509925842285,28.880529403686523,0.006075940560549498,0.1168280839920044,0.020702708512544632,164.01467895507812,-0.019177723675966263,30.0,0.0
30,100.96636962890625,-2.791572093963623,28.86259651184082,-0.013712375424802303,0.11170266568660736,0.012218523770570755,164.01467895507812,-0.019177723675966263,30.0,0.0
31,104.50785064697266,-2.579165458679199,28.850486755371094,0.007660876028239727,0.11144175380468369,0.008822094649076462,164.01467895507812,-0.019177723675966263,30.0,0.0
32,108.04792022705078,-2.3995907306671143,28.84082794189453,0.018392542377114296,0.11245494335889816,0.013759085908532143,164.01467895507812,-0.019177723675966263,30.0,0.0
