,Wind,Total TTE,Mean TTE,Max TTE,Completed Mission,Reward,Time Outside Corridor
0,zero,33.970622454811455,0.1836249862422241,0.9981458182656121,True,1676.0049,0.0
1,n5,44.94631473777471,0.2416468534288963,0.985198506993718,True,1566.0872,0.0
2,n7,59.55125108717901,0.31016276607905735,0.9838477227054682,True,1421.4087,0.0
3,n10,99.80672967642076,0.31989336434750243,0.9867610069780931,True,1005.1003,0.0
4,n12,78.9439396412837,0.29023507221060185,1.3485612352936847,True,1227.517,0.0
5,s5,36.61531947030748,0.19899630146906241,0.9950199790634721,True,1650.2397,0.0
6,s7,51.62675025538448,0.27906351489397013,0.9949549766227159,True,1498.5535,0.0
7,s10,69.3772081756739,0.32119077859108286,0.9917811485294542,True,1311.3596,0.0
8,s12,67.49599642409547,0.2606023027957354,1.2194697448853806,True,1340.4983,0.0
9,e5,34.58492340836865,0.18494611448325482,0.9975088401225679,True,1672.3334,0.0
10,e7,40.01629932169334,0.21172645143753088,0.9980249686574456,True,1620.4386,0.0
11,e10,52.1762897324125,0.24381443800192756,0.997679891146248,True,1498.8527,0.0
12,e12,71.90722300163424,0.2454171433502875,1.436848587926436,True,1301.6982,0.0
13,w5,42.817018513373995,0.22896801344050266,0.9901489158797608,True,1589.4192,0.0
14,w7,54.119743579715745,0.2878709764878497,0.9934446616964128,True,1474.024,0.0
15,w10,67.74009436681337,0.32567353060967963,1.1313425332422387,True,1341.3708,0.0
16,w12,82.32732769605137,0.30950123194004275,1.3927117780650697,True,1197.4485,0.0
17,nw5,40.69777955430028,0.21998799759081233,0.9812841698746583,True,1609.0986,0.0
18,nw7,46.301588752199244,0.2462850465542513,0.9561782741296235,True,1553.9614,0.0
19,nw10,87.1505202096453,0.4446455112737005,0.9153365997333528,True,1143.957,0.0
20,nw12,562.7269155217678,0.9586489191171512,1.134001377209791,True,-54602.727,0.0
21,sw5,33.887847948425396,0.18417308667622498,0.9979435630186113,True,1677.2561,0.0
22,sw7,46.98853451849054,0.2539920784783272,0.9887274071049135,True,1546.5408,0.0
23,sw10,83.15167411638605,0.4422961389169471,0.979893636441298,True,1187.4275,0.0
24,sw12,122.45518476495914,0.6247713508416283,1.2051971315027161,True,790.95264,0.0
25,ne5,31.6539291975578,0.17018241504063333,0.9994884391017953,True,1700.2578,0.0
26,ne7,39.87548717730351,0.2143843396629221,0.9972003074108095,True,1615.4907,0.0
27,ne10,73.37127796668958,0.38616462087731357,1.0079493259122205,True,1282.9652,0.0
28,ne12,117.80327063205146,0.5979861453403628,1.3012079965783288,True,834.8007,0.0
29,se5,31.353016954424774,0.17039683127404767,0.997215795081553,True,1702.9646,0.0
30,se7,48.199453944041274,0.2619535540437026,0.9869958397394166,True,1533.3044,0.0
31,se10,79.5900200000722,0.4123835233164363,0.9409900571184198,True,1218.5522,0.0
32,se12,118.89673013871031,0.5944836506935516,1.2815561560596267,True,827.7974,0.0
