,X,Y,Z,Roll,Pitch,Yaw,WPX,WPY,WPZ,TTE,Wind X,Wind Y
220,12.783634185791016,97.60589599609375,28.619678497314453,-0.015243815258145332,0.04008641466498375,0.006637462880462408,0.0,100.0,30.0,2.7635162077164006,0.3621962368488312,0.11514466255903244
221,10.946335792541504,97.28205871582031,28.617277145385742,0.018731269985437393,0.09010962396860123,0.02072414942085743,0.0,100.0,30.0,3.0494469909899053,0.27997106313705444,0.12050612270832062
222,9.522562026977539,96.9275131225586,28.61553382873535,-0.012074113823473454,0.014324456453323364,0.018712293356657028,0.0,100.0,30.0,3.3700033232335604,0.3212861120700836,0.1260623037815094
223,8.285889625549316,96.60371398925781,28.62082862854004,-0.01003777515143156,0.10057764500379562,0.0053064036183059216,0.0,100.0,30.0,3.665633813441318,0.3276892900466919,0.09356838464736938
224,7.21416711807251,96.32965850830078,28.62445640563965,0.0006897423882037401,0.03866291791200638,0.018156778067350388,0.0,100.0,30.0,3.919633444690384,0.35557660460472107,0.12492693215608597
225,6.279374599456787,96.06429290771484,28.632015228271484,-0.015416998416185379,0.05561409890651703,0.01670784130692482,0.0,100.0,30.0,4.166674152669196,0.35754257440567017,0.10573884844779968
226,5.488551616668701,95.83699035644531,28.641559600830078,-0.005295539274811745,0.022248800843954086,0.01476383674889803,0.0,100.0,30.0,4.379042314608014,0.37698525190353394,0.12972043454647064
227,4.79306697845459,95.64276885986328,28.64666748046875,-0.013922225683927536,0.026958802714943886,0.005744653288275003,0.0,100.0,30.0,4.562561905057975,0.38500866293907166,0.1263091117143631
228,4.199868202209473,95.46065521240234,28.64838409423828,-0.014773393981158733,0.02363326959311962,0.0120511744171381,0.0,100.0,30.0,4.736297865234678,0.37714532017707825,0.09539560228586197
229,3.704850435256958,95.30329132080078,28.656579971313477,-0.018711505457758904,0.027849707752466202,0.012516374699771404,0.0,100.0,30.0,4.8850640380634225,0.35214874148368835,0.07481610774993896
230,3.268533706665039,95.20574188232422,28.660934448242188,-0.010362583212554455,0.018835870549082756,0.01331270020455122,0.0,100.0,30.0,4.977751109890458,0.3508445620536804,0.02814035676419735
231,2.8837387561798096,95.14517974853516,28.660615921020508,-0.013386959210038185,0.02950253337621689,0.01867545396089554,0.0,100.0,30.0,5.036191966239643,0.34715497493743896,0.03402578830718994
232,2.558979034423828,95.09812927246094,28.664880752563477,-0.018483344465494156,0.002401081845164299,0.005097704939544201,0.0,100.0,30.0,5.080440928199497,0.32583385705947876,0.08371821790933609
233,2.2741496562957764,95.0765151977539,28.667104721069336,-0.003456618869677186,0.0201778132468462,0.013418481685221195,0.0,100.0,30.0,5.100716806902988,0.295798122882843,0.07070187479257584
234,2.0398383140563965,95.0780258178711,28.670244216918945,-0.012628773227334023,0.004122542683035135,0.006817151792347431,0.0,100.0,30.0,5.098438974894517,0.30722635984420776,0.06305881589651108
235,1.8366003036499023,95.10822296142578,28.673851013183594,-0.009741338901221752,0.010751983150839806,0.012632092460989952,0.0,100.0,30.0,5.068348032812613,0.3182542026042938,0.047157127410173416
236,1.6657185554504395,95.1617431640625,28.674711227416992,-0.018623467534780502,-0.0033798059448599815,0.016827400773763657,0.0,100.0,30.0,5.016484935186713,0.32882317900657654,0.05601293221116066
237,1.4959760904312134,95.23889923095703,28.677440643310547,-0.016707655042409897,0.017650507390499115,0.005744054913520813,0.0,100.0,30.0,4.94138056582057,0.3281310796737671,0.04250239208340645
238,1.3700435161590576,95.34931182861328,28.679141998291016,-0.0022738196421414614,0.005921876989305019,0.006011141464114189,0.0,100.0,30.0,4.834621533685035,0.35077401995658875,0.06065201759338379
239,1.2682383060455322,95.46897888183594,28.680198669433594,-0.01035312470048666,-0.0010820090537890792,0.008623793721199036,0.0,100.0,30.0,4.7193249039786265,0.37003207206726074,0.08030537515878677
240,1.1729779243469238,95.6200942993164,28.68123435974121,-0.00016868265811353922,0.029097044840455055,0.016116954386234283,0.0,100.0,30.0,4.574135391270365,0.3714235723018646,0.0733259990811348
241,1.0996977090835571,95.79866027832031,28.6829833984375,-0.0066384728997945786,-0.004976916592568159,0.008930905722081661,0.0,100.0,30.0,4.402929338294926,0.37279394268989563,0.07037655264139175
242,1.0122709274291992,95.995361328125,28.684528350830078,-0.008580115623772144,0.0062412903644144535,0.01015491783618927,0.0,100.0,30.0,4.21516261653978,0.360660582780838,0.04298645630478859
243,0.9447948932647705,96.20672607421875,28.686574935913086,-0.01752486824989319,0.006705902051180601,0.014438803307712078,0.0,100.0,30.0,4.014226339252268,0.34594064950942993,0.03799854591488838
244,0.8933862447738647,96.44905853271484,28.687583923339844,-0.013341671787202358,0.01340874470770359,0.009346607141196728,0.0,100.0,30.0,3.7857128527678716,0.3462754786014557,0.02994290553033352
245,0.8513432741165161,96.70852661132812,28.68471336364746,0.0022795316763222218,0.011374900117516518,0.025744551792740822,0.0,100.0,30.0,3.544541590531147,0.3484804630279541,0.027227254584431648
246,0.8099596500396729,96.97386932373047,28.688140869140625,0.0002035468933172524,0.005829374771565199,0.006712725851684809,0.0,100.0,30.0,3.2982482580331425,0.34941229224205017,0.032994162291288376
247,0.7792157530784607,97.23883056640625,28.687976837158203,0.01596229150891304,-0.009060443378984928,0.011070838198065758,0.0,100.0,30.0,3.0570348815390265,0.343586266040802,0.036278169602155685
248,0.7459298968315125,97.44873046875,28.687978744506836,0.003144055139273405,-0.0007126422715373337,0.009405883029103279,0.0,100.0,30.0,2.868863191526212,0.3390343487262726,0.040496498346328735
249,0.7189925909042358,97.62004089355469,28.687902450561523,0.00039537064731121063,-0.0006513793487101793,0.007803542073816061,0.0,100.0,30.0,2.7176836886434756,0.3502728343009949,0.03654009848833084
250,0.7059123516082764,97.7695541381836,28.68790054321289,2.133904490619898e-05,-0.010649964213371277,0.0024030776694417,0.0,100.0,30.0,2.587758458009134,0.35675713419914246,0.03481221944093704
251,0.6843108534812927,97.9093017578125,28.688390731811523,0.014467820525169373,0.015005002729594707,0.014948668889701366,0.0,100.0,30.0,2.4680636349873324,0.3534105718135834,0.043735072016716
252,0.6750984191894531,98.01502990722656,28.687713623046875,0.0025475367438048124,-0.00882050208747387,0.007732037454843521,0.0,100.0,30.0,2.3795380926596974,0.3524198532104492,0.04317965358495712
