,Wind,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,zero,130.53509427849315,0.6306043201859572,True,8641.63,0.0
1,n5,151.1004570308354,0.729953898699688,True,8440.476,0.0
2,n7,238.82989209109695,1.137285200433795,True,7588.069,0.0
3,n10,2325.804941936386,9.454491633887748,True,-13188.385,46.5
4,s5,210.33858501095185,1.0064047129710614,True,7866.0625,0.0
5,s7,305.24613930270345,1.4398402797297334,True,6931.847,0.0
6,s10,770.3443867427662,3.1964497375218515,True,2376.1775,19.0
7,e5,144.5396931608875,0.6982593872506643,True,8505.643,0.0
8,e7,222.11351026687765,1.057683382223227,True,7752.1104,0.0
9,e10,2124.9152834323254,9.042192695456704,True,-11233.818,32.0
10,w5,213.43052530613505,1.0211986856752873,True,7836.783,0.0
11,w7,323.3586273488653,1.5039936155761178,True,6772.0244,0.0
12,w10,93.64132422871202,0.3121377474290401,False,-3435.2344,0.0
13,nw5,153.85653932001506,0.7432683058937926,True,8411.48,0.0
14,nw7,231.25594345885187,1.1064877677457028,True,7657.6816,0.0
15,nw10,466.5973511500888,2.140354821789398,True,5355.0166,0.0
16,sw5,205.97529899424944,0.9855277463839687,True,7915.8936,0.0
17,sw7,303.46868455156016,1.4450889740550483,True,6942.123,0.0
18,sw10,583.3776193232941,2.6043643719789915,True,4222.0513,0.0
19,ne5,110.55522679610029,0.5366758582334965,True,8835.408,0.0
20,ne7,165.8458441334961,0.7973357891033466,True,8300.063,0.0
21,ne10,341.0098010157768,1.6085367972442302,True,6576.539,0.0
22,se5,148.13686888190293,0.7156370477386614,True,8469.157,0.0
23,se7,209.4402046454623,1.0021062423227862,True,7873.7593,0.0
24,se10,392.9114517826411,1.8190344989937088,True,6091.019,0.0
