,Wind,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,zero,49.148850683597374,0.23074577785726466,True,9441.634,0.0
1,n5,224.83798173784174,1.0409165821196378,True,7705.354,0.0
2,n7,413.3655297357439,1.7741009859903172,True,5866.38,0.0
3,n10,2406.271780640136,8.02090593546712,False,-26524.656,147.5
4,s5,226.1836663680052,1.0423210431705308,True,7707.1367,0.0
5,s7,412.91405602053476,1.7798019656057533,True,5865.4385,0.0
6,s10,2406.271780640136,8.02090593546712,False,-26524.656,147.5
7,e5,227.61629388784223,1.0393438077070423,True,7711.661,0.0
8,e7,428.45647455271995,1.823219040649872,True,5756.87,1.0
9,e10,6558.306177543993,19.873655083466645,False,-65563.234,148.5
10,w5,225.76381633388942,1.0403862503865873,True,7711.2026,0.0
11,w7,423.69837057117365,1.8341920803946912,True,5775.676,0.5
12,w10,38.05393102309104,0.1268464367436368,False,-2881.2827,0.0
13,nw5,213.41071252407932,0.9972463202059781,True,7829.52,0.0
14,nw7,409.55594516445393,1.8531943220111038,True,5915.8975,0.0
15,nw10,1130.7986765553005,3.7693289218510015,False,-13788.473,0.0
16,sw5,212.68678936398578,0.9846610618703046,True,7851.989,0.0
17,sw7,408.33567136787246,1.8476727211215949,True,5921.4277,0.0
18,sw10,1130.7986765553005,3.7693289218510015,False,-13788.473,0.0
19,ne5,214.407096976434,0.9972423115182977,True,7820.4336,0.0
20,ne7,411.0316286750251,1.8514938228604734,True,5888.9673,0.0
21,ne10,1436.5878716433701,3.8004970149295505,False,-11790.875,3.5
22,se5,211.6998684705054,0.9846505510256065,True,7844.836,0.0
23,se7,408.3326506567208,1.847659052745343,True,5899.613,0.0
24,se10,1290.1715713018605,3.7946222685348836,False,-12839.921,1.5
