,Agent,Changes,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
1,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
2,PID,1,1971.5980591961354,5.257594824523028,False,-17177.531,23.5
3,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
4,PID,1,2421.1282378954693,5.6967723244599275,False,-14201.927,170.0
5,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
6,PID,1,1220.5998204411537,5.70373747869698,True,7738.5034,50.5
7,PID,1,2064.3180866744883,8.784332283721227,True,-623.41016,48.0
8,PID,1,2064.769311425245,5.6880697284442014,False,-15619.641,147.0
9,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
10,PID,1,1197.6994461377046,5.5193522863488695,True,8020.973,46.0
11,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
12,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
13,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
14,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
15,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
16,PID,1,1323.7466104337973,6.214772818938015,True,6713.843,53.5
17,PID,1,11903.29086557756,39.284788335239476,True,-98984.44,83.0
18,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
19,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
20,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
21,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
22,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
23,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
24,PID,1,1323.7808275014058,6.214933462447915,True,6713.8916,53.5
25,PID SL,1,807.7907021727333,1.2092675182226547,True,11844.567,0.0
26,PID SL,1,1254.3227486942715,2.602329354137493,False,-7575.1724,0.0
27,PID SL,1,1578.385170655495,3.6368321904504493,False,-13257.6875,145.5
28,PID SL,1,1195.7720526073529,2.480854880928118,False,-6976.337,81.5
29,PID SL,1,529.7682098194415,0.7990470736341501,True,14605.043,0.0
30,PID SL,1,1116.2633926308124,1.6177730327982789,True,8818.004,0.0
31,PID SL,1,1227.4647775545404,1.731262027580452,True,7707.802,0.0
32,PID SL,1,467.9681300730182,0.6600396757024234,True,15261.255,6.5
33,PID SL,1,1342.169621024312,2.7845842759840496,False,-8440.125,92.0
34,PID SL,1,240.6524015896339,0.3635232652411388,True,17466.098,0.0
35,PID SL,1,1602.3782658944604,4.183755263432011,False,-16018.521,145.0
36,PID SL,1,866.6272676744177,1.144818055052071,True,11355.585,6.0
37,PID SL,1,167.33631218193904,0.24572145694851547,True,18191.52,0.0
38,PID SL,1,318.5307614597038,0.4775573635078018,True,16697.438,0.0
39,PID SL,1,1393.9872573317816,1.9689085555533639,True,6065.498,0.0
40,PID SL,1,467.3850345204956,0.7038931242778548,True,15209.744,0.0
41,PID SL,1,871.5612536138354,1.208822820546235,True,11304.236,0.0
42,PID SL,1,494.33721988438015,1.0255958918763073,False,13.874023,0.0
43,PID SL,1,1359.2366071847448,1.4790387455764362,False,1371.2148,1.5
44,PID SL,1,2073.92313888604,4.469661937254396,False,-15665.598,153.5
45,PID SL,1,489.08539583137537,0.7288903067531675,True,15013.109,0.0
46,PID SL,1,652.5285582152164,0.7307150707897161,False,8366.888,0.0
47,PID SL,1,306.84388743428354,0.4614193796004264,True,16810.785,0.0
48,PID SL,1,1441.9141408748183,4.806380469582727,False,-16891.418,129.5
49,PID SL,1,465.0314903217849,0.6522180789926857,True,15295.189,6.5
50,Blending,1,442.2484205488215,0.6910131571075336,True,15482.764,0.0
51,Blending,1,389.0023752077541,0.6184457475480987,True,15993.479,0.0
52,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
53,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
54,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
55,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
56,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
57,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
58,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
59,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
60,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
61,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
62,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
63,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
64,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
65,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
66,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
67,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
68,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
69,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
70,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
71,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
72,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
73,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
74,Blending,1,386.1170458209804,0.6168003926852722,True,16042.484,0.0
