,Agent,Changes,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,PID,1,1786.4301722579366,8.347804543261386,True,7041.9775,64.0
1,PID,1,1904.1988671274498,8.898125547324533,True,5851.1094,71.0
2,PID,1,2867.9785000377374,8.265067723451693,False,-20881.77,168.5
3,PID,1,1764.0657824226141,8.09204487349823,True,7315.0356,61.5
4,PID,1,1797.173252078912,8.398005850836038,True,6965.967,67.0
5,PID,1,1898.406018743749,8.748414832920503,True,5912.5654,70.0
6,PID,1,1930.6525556248735,8.897016385368081,True,5632.4697,67.5
7,PID,1,2412.5987269616703,10.62818822450075,True,839.03955,62.5
8,PID,1,1677.693519602599,7.660701002751594,True,8197.412,61.0
9,PID,1,1846.2071579939807,8.587010037181306,True,6427.2363,68.0
10,PID,1,1740.1302750203122,7.9458003425585035,True,7542.5024,63.5
11,PID,1,1858.6054819175783,8.725847332946378,True,6337.385,66.5
12,PID,1,1823.4810068285522,8.481307008504894,True,6613.32,71.0
13,PID,1,1825.4656829886148,8.530213471909414,True,6684.2637,67.0
14,PID,1,1333.809738753513,3.261148505509812,False,-913.5967,37.0
15,PID,1,1813.6217588006546,8.47486803177876,True,6763.2524,65.5
16,PID,1,1801.687475556435,8.419100353067453,True,6948.4307,65.5
17,PID,1,2044.1842613940594,8.73583017689769,True,4511.205,72.5
18,PID,1,2090.613531537109,9.011265222142711,True,4007.6055,67.0
19,PID,1,2626.8570146869806,6.391379597778542,False,-13757.362,174.5
20,PID,1,3421.8536429185715,14.749369150511084,True,-9166.555,79.0
21,PID,1,1829.3924931996846,8.548563052334975,True,6529.287,65.0
22,PID,1,1877.8407171287538,8.734142870366297,True,6184.351,69.0
23,PID,1,1854.6607852414272,8.666639183371155,True,6338.882,73.5
24,PID,1,1860.2430504727772,8.77473137015461,True,6276.124,66.5
25,DI-RL,1,508.08335033762836,0.9040629009566341,True,14930.123,0.5
26,DI-RL,1,691.6809921713979,1.2134754248621016,True,13078.615,13.5
27,DI-RL,1,379.75733080425823,0.662752758820695,True,16214.421,0.5
28,DI-RL,1,568.1853389207553,1.0056377680013369,True,14336.092,0.5
29,DI-RL,1,404.50711232411527,0.7159417917240978,True,15940.174,0.5
30,DI-RL,1,377.80189518717975,0.6674945144649819,True,16216.463,0.5
31,DI-RL,1,728.7561867029817,1.2898339587663394,True,12761.044,11.5
32,DI-RL,1,598.5353779522111,1.0688131749146628,True,14031.301,0.5
33,DI-RL,1,694.912910430621,1.2085441920532538,True,13080.996,0.5
34,DI-RL,1,567.743724551178,1.0030807854261097,True,14332.775,0.5
35,DI-RL,1,530.7930575046032,0.9411224423840483,True,14694.243,0.5
36,DI-RL,1,334.32792195414936,0.5917308353170785,True,16631.312,0.5
37,DI-RL,1,589.4413512664789,1.035925046162529,True,14114.023,0.5
38,DI-RL,1,400.5700144326652,0.7015236680081702,True,15996.75,0.5
39,DI-RL,1,594.4823474972998,1.0503221687231445,True,14081.089,0.5
40,DI-RL,1,418.18978976776003,0.7401589199429381,True,15804.699,0.5
41,DI-RL,1,365.5858640295976,0.6425059121785547,True,16342.898,0.5
42,DI-RL,1,733.9084000677551,1.3035673180599558,True,12670.711,12.0
43,DI-RL,1,616.7367986528689,1.1032858652108566,True,13850.398,0.5
44,DI-RL,1,369.2336611296738,0.6500592625522427,True,16300.874,0.5
45,DI-RL,1,320.55889309604606,0.5623840229755194,True,16769.203,0.5
46,DI-RL,1,620.0987161542728,1.1033784984951474,True,13815.476,0.5
47,DI-RL,1,808.9508414372215,1.429241769323713,True,11959.414,0.5
48,DI-RL,1,743.4543320632561,1.3112069348558308,True,12604.793,0.5
49,DI-RL,1,453.75906700178723,0.7988715968341324,True,15463.0,0.5
50,PID,2,1962.1119998703161,8.918690908501437,True,5438.86,78.0
51,PID,2,1775.8774602147287,8.298492804741723,True,7166.8223,65.5
52,PID,2,1792.5877471017145,8.455602580668465,True,6929.842,65.0
53,PID,2,3811.120496437978,14.220598867305888,True,-13120.723,69.0
54,PID,2,2353.2720910773355,8.780866011482596,True,1347.3318,93.0
55,PID,2,5194.936067884373,18.75428183351759,True,-27687.758,83.0
56,PID,2,5722.93043113368,11.751397189186202,True,-31832.863,201.0
57,PID,2,1682.3614172957828,7.824936824631548,True,8054.815,64.5
58,PID,2,1708.9374067641288,7.803367154174104,True,7877.1826,57.0
59,PID,2,2201.1630493028715,9.696753521158024,True,2998.314,63.0
60,PID,2,1820.1276808979173,8.545200379802429,True,6792.6787,65.5
61,PID,2,5191.647203661916,7.7141860381306335,True,-27733.283,262.5
62,PID,2,2591.03637095846,7.466963605067607,True,-871.20703,111.0
63,PID,2,1858.97082599201,8.646375934846558,True,6231.5146,73.0
64,PID,2,1975.9202802344669,8.900541802857958,True,5176.0005,73.5
65,PID,2,3040.087491601464,6.71100991523502,True,-5359.1704,171.5
66,PID,2,4030.5594099727446,7.648120322528927,True,-15263.969,200.0
67,PID,2,2006.1205630569018,8.916091391364008,True,4864.1777,61.0
68,PID,2,2788.2709941154963,9.263358784436864,True,-2938.816,96.0
69,PID,2,3766.304836027643,8.903793938599629,True,-12687.725,170.5
70,PID,2,3413.48909351182,7.5352960121673735,True,-9226.677,185.5
71,PID,2,1760.4543156557659,8.226422035774608,True,7296.0127,62.5
72,PID,2,5314.174143402988,20.758492747667923,True,-28104.139,82.0
73,PID,2,2067.9598321478334,9.190932587323704,True,4397.6675,75.5
74,PID,2,2929.1102604284706,9.796355386048397,True,-4582.476,96.0
75,DI-RL,2,751.2517006858735,1.26900625115857,True,12555.707,0.5
