,Wind,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,zero,217.85233588644562,1.2308041575505402,True,7783.1006,0.0
1,n5,247.7663620605347,1.3919458542726668,True,7493.747,0.0
2,n7,378.2265488728898,2.0226018656304268,True,6240.5063,4.5
3,n10,1823.5540016312966,6.078513338770989,False,-20705.0,142.5
4,s5,282.28490167648613,1.5595850921352825,True,7177.719,1.5
5,s7,453.6883472691858,2.3629601420270094,True,5498.0767,15.0
6,s10,2629.2511238632605,8.764170412877535,False,-28756.262,148.0
7,e5,244.18250230758244,1.3718118107167552,True,7539.839,0.0
8,e7,319.94716619332974,1.7874143362755852,True,6789.762,0.0
9,e10,3525.424473783024,15.195795145616483,True,-25194.09,39.0
10,w5,252.50945852625273,1.4028303251458485,True,7457.1304,0.0
11,w7,327.51819560976134,1.7897169159003352,True,6727.283,0.0
12,w10,3359.4800195690373,13.437920078276148,True,-23551.691,38.0
13,nw5,239.61574468710262,1.353761269418659,True,7569.135,0.0
14,nw7,281.2452053656573,1.5624733631425405,True,7163.412,0.0
15,nw10,476.40049338541917,2.481252569715725,True,5297.695,5.0
16,sw5,232.13917152545272,1.3041526490193973,True,7640.468,0.0
17,sw7,303.47313140022015,1.6583231224055746,True,6973.6943,2.0
18,sw10,525.0290433650837,2.5736717812013907,True,4813.2563,23.0
19,ne5,223.84419113837853,1.2646564471094832,True,7723.1016,0.0
20,ne7,252.96385378508748,1.3975903524037983,True,7471.442,0.0
21,ne10,411.2814202781166,2.1309918149125213,True,5937.082,9.5
22,se5,237.09618588996793,1.324559697709318,True,7616.076,0.0
23,se7,306.3643332842872,1.7020240738015957,True,6929.6797,1.5
24,se10,572.3388925486325,2.9654864898892876,True,4363.3154,13.0
