,Wind,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,zero,153.4941307651541,0.7912068596141963,True,8426.682,0.0
1,n5,274.06285386912833,1.3703142693456416,True,7244.065,0.0
2,n7,279.9674669681466,1.3928729699907791,True,7183.8794,0.0
3,n10,306.5354441628312,1.517502198825897,True,6920.6763,6.0
4,s5,224.0814789688646,1.155059169942601,True,7730.3564,0.0
5,s7,266.096158104764,1.3507419193135228,True,7332.432,0.0
6,s10,457.27307897409503,2.2197722280295875,True,5419.6577,11.5
7,e5,188.74499721355704,0.9729123567709126,True,8081.4834,0.0
8,e7,188.29709141773878,0.9656261098345579,True,8081.6826,0.0
9,e10,663.9606510802324,3.2869339162387745,True,3320.748,17.5
10,w5,176.91539849202485,0.9026295841429839,True,8197.502,0.0
11,w7,155.1112384754485,0.7954422485920435,True,8398.386,0.0
12,w10,538.5149317228019,2.5401647722773673,True,4569.1484,16.5
13,nw5,276.37630566420614,1.3958399275970008,True,7231.3096,0.0
14,nw7,291.55375627891544,1.4650942526578665,True,7070.1553,0.0
15,nw10,264.96677163208074,1.3248338581604038,True,7342.611,0.0
16,sw5,233.9065530197497,1.187342908729694,True,7645.0015,0.0
17,sw7,278.76068760376256,1.4078822606250634,True,7205.356,0.0
18,sw10,303.48678524615025,1.5024098279512388,True,6966.959,0.0
19,ne5,287.7345338075139,1.4605813898858575,True,7095.2095,0.0
20,ne7,325.8016060971956,1.629008030485978,True,6750.1436,0.0
21,ne10,334.3773524297645,1.6553334278701215,True,6662.7373,0.0
22,se5,205.4698580166538,1.0536915795725836,True,7919.8433,0.0
23,se7,244.2982183243831,1.2464194812468525,True,7532.5146,0.0
24,se10,282.17500933543056,1.4251263097749018,True,7180.9414,0.0
