3471.4,3471.4,3471.4,3471.4,3471.4,3471.4,3471.4,3471.4
3477,3477,3477,3477,3477,3477,3477,3477
4721.9,4721.9,4721.9,4721.9,4721.9,4721.9,4721.9,4721.9
4932.8,4932.8,4932.8,4932.8,4932.8,4932.8,4932.8,4932.8
4901.2,4901.2,4901.2,4901.2,4901.2,4901.2,4901.2,4901.2
4828,4828,4828,4828,4828,4828,4828,4828
4748.9,4748.9,4748.9,4748.9,4748.9,4748.9,4748.9,4748.9
4674.1,4674.1,4674.1,4674.1,4674.1,4674.1,4674.1,4674.1
4606.1,4606.1,4606.1,4606.1,4606.1,4606.1,4606.1,4606.1
4536.7,4536.7,4536.7,4536.7,4536.7,4536.7,4536.7,4536.7
4466.1,4466.1,4466.1,4466.1,4466.1,4466.1,4466.1,4466.1
4409.6,4409.6,4409.6,4409.6,4409.6,4409.6,4409.6,4409.6
4345.5,4345.5,4345.5,4345.5,4345.5,4345.5,4345.5,4345.5
4286.8,4286.8,4286.8,4286.8,4286.8,4286.8,4286.8,4286.8
4236.5,4236.5,4236.5,4236.5,4236.5,4236.5,4236.5,4236.5
4186.6,4186.6,4186.6,4186.6,4186.6,4186.6,4186.6,4186.6
4136,4136,4136,4136,4136,4136,4136,4136
4093.5,4093.5,4093.5,4093.5,4093.5,4093.5,4093.5,4093.5
4042.5,4042.5,4042.5,4042.5,4042.5,4042.5,4042.5,4042.5
4007,4007,4007,4007,4007,4007,4007,4007
3964.8,3964.8,3964.8,3964.8,3964.8,3964.8,3964.8,3964.8
3929.9,3929.9,3929.9,3929.9,3929.9,3929.9,3929.9,3929.9
3895.5,3895.5,3895.5,3895.5,3895.5,3895.5,3895.5,3895.5
3861.7,3861.7,3861.7,3861.7,3861.7,3861.7,3861.7,3861.7
3836.5,3836.5,3836.5,3836.5,3836.5,3836.5,3836.5,3836.5
3812.9,3812.9,3812.9,3812.9,3812.9,3812.9,3812.9,3812.9
3779.7,3779.7,3779.7,3779.7,3779.7,3779.7,3779.7,3779.7
3763.5,3763.5,3763.5,3763.5,3763.5,3763.5,3763.5,3763.5
3740.8,3740.8,3740.8,3740.8,3740.8,3740.8,3740.8,3740.8
3716.9,3716.9,3716.9,3716.9,3716.9,3716.9,3716.9,3716.9
3702.3,3702.3,3702.3,3702.3,3702.3,3702.3,3702.3,3702.3
3679.3,3679.3,3679.3,3679.3,3679.3,3679.3,3679.3,3679.3
3664.9,3664.9,3664.9,3664.9,3664.9,3664.9,3664.9,3664.9
3652.2,3652.2,3652.2,3652.2,3652.2,3652.2,3652.2,3652.2
3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2
3626.8,3626.8,3626.8,3626.8,3626.8,3626.8,3626.8,3626.8
3613.9,3613.9,3613.9,3613.9,3613.9,3613.9,3613.9,3613.9
3600.8,3600.8,3600.8,3600.8,3600.8,3600.8,3600.8,3600.8
3587.7,3587.7,3587.7,3587.7,3587.7,3587.7,3587.7,3587.7
3575.2,3575.2,3575.2,3575.2,3575.2,3575.2,3575.2,3575.2
3572.6,3572.6,3572.6,3572.6,3572.6,3572.6,3572.6,3572.6
3561.7,3561.7,3561.7,3561.7,3561.7,3561.7,3561.7,3561.7
3559.4,3559.4,3559.4,3559.4,3559.4,3559.4,3559.4,3559.4
3548.5,3548.5,3548.5,3548.5,3548.5,3548.5,3548.5,3548.5
3546.2,3546.2,3546.2,3546.2,3546.2,3546.2,3546.2,3546.2
