,Agent,Changes,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor,Mass
0,Oracle Agent,,503.6989647904704,0.8522825123358214,True,14963.33,0.5,4.0
1,Oracle Agent,,527.330208731433,0.8922676966690913,True,14719.155,0.5,6.0
2,Oracle Agent,,762.4535247638005,1.2814344954013455,True,12416.275,0.5,8.0
3,Oracle Agent,,1078.6781500796567,1.7741416942099617,True,9268.334,0.5,10.0
4,Oracle Agent,,484.3720745956667,0.8195804984698252,True,15154.26,0.5,12.0
5,Oracle Agent,,719.329329235982,1.2192022529423423,True,12814.638,0.5,14.0
6,Oracle Agent,,502.2200809988479,0.8483447314169728,True,14972.346,0.5,16.0
7,Oracle Agent,,1036.7856808172894,1.710867460094537,True,9684.447,0.5,18.0
8,Oracle Agent,,1005.2564164899558,1.6895065823360602,True,10008.102,0.5,4.0
9,Oracle Agent,,967.7788763411512,1.6022829078495882,True,10369.955,0.5,6.0
10,Oracle Agent,,521.0946384659637,0.880227429841155,True,14782.577,0.5,8.0
11,Oracle Agent,,525.2054471666397,0.8812171932326169,True,14761.766,0.5,10.0
12,Oracle Agent,,493.9470362121475,0.8343699936016005,True,15055.29,0.5,12.0
13,Oracle Agent,,1034.9231193305925,1.7191413942368645,True,9713.307,0.5,14.0
14,Oracle Agent,,643.4632421528077,1.0778278763028604,True,13580.486,0.5,16.0
15,Oracle Agent,,1016.269208940641,1.6937820149010683,True,9941.501,0.5,18.0
16,Oracle Agent,,693.1904821547342,1.161123085686322,True,13088.947,0.5,4.0
17,Oracle Agent,,548.2312470360891,0.9245046324385989,True,14544.137,0.5,6.0
18,Oracle Agent,,1259.4610985376908,2.0748947257622583,True,7494.0063,0.5,8.0
19,Oracle Agent,,526.8729369333101,0.8869914763187039,True,14744.111,0.5,10.0
20,Oracle Agent,,648.5464909518254,1.0955177212024076,True,13528.847,0.5,12.0
21,Oracle Agent,,481.8358216732139,0.8125393282853522,True,15172.482,0.5,14.0
22,Oracle Agent,,1118.7210368203669,1.8460743181854238,True,8902.423,0.5,16.0
23,Oracle Agent,,516.4330129912894,0.8679546436828393,True,14828.232,0.5,18.0
