,X,Y,Wind X,Wind Y
0,12.6966831573518,0.0,-1.5365558741389316,-9.084663838228055
1,6.348529077717103,417.6571320272051,-1.5699174675691019,-9.136381490454248
2,0.0,835.2966626440175,-1.6176201933540353,-9.164626285605642
3,432.3426334238611,6.387026073876768,-1.4988516369563207,-9.044032359453391
4,425.9766259075841,424.04453289462253,-1.5006340151650017,-9.064595265828439
5,419.61024234013166,841.6844381797127,-1.5209148678888962,-9.108158798781812
6,851.9889608550584,12.791989747900516,-1.4565689297296693,-8.983193673160585
7,845.6050997748971,430.4498724141158,-1.4693745894821968,-9.012383551699575
8,839.2208615905838,848.09015341755,-1.4710302228224583,-9.022538350067686
9,1271.6356665022904,19.214891150593758,-1.4294847910364017,-8.914608496039323
10,1265.2339517306536,436.87315071420744,-1.4523668681788076,-8.947393486001788
11,1258.8318588021211,854.5138084865175,-1.459532304604081,-8.961864432797267
12,1691.28275142645,25.65573041141033,-1.4027721482301527,-8.866770409999042
13,1684.8631828353973,443.3143679210916,-1.4380826629111474,-8.918436477218686
14,1678.4432350345887,860.9554035128094,-1.445953553534095,-8.92758685941108
